_id,link,text,date,Likes,Comments,sentiment
6625947181aad1cc6b12a1ed,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164939542864241#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1ee,https://twitter.com/Garnet_2203/status/1782158288844390610#m,“Get the hell out of their way….” 👇👇👇-Harrison Ford. #harrisonford #genx #genz #democracy #millennials #Palestine #Israel,"Apr 21, 2024 · 9:23 PM UTC",14,0,Neutral
6625947181aad1cc6b12a1ef,https://twitter.com/kk131066/status/1782157388348641473#m,#Israel lobby’s powerful influence on US policy https://piped.video/vqQsqVkboMs?si=XuTTYNr3AQ0FGdmX  Your tax $ help #IsraeliNewNazism commit #PalestineGenocide  You can't build just society on the graves of innocent people  https://x.com/kk131066/status/1782149069579952196 #GenocideJoe #Fascism #Rafah #Gaza #Palestine #HumanRights,"Apr 21, 2024 · 9:20 PM UTC",0,0,Positive
6625947181aad1cc6b12a1f0,https://twitter.com/HoseinMortada1/status/1782163279458034090#m,"With utmost pride and honor, the ranks of the Lebanese Resistance Regiments ""Amal"" announces to their leader, His Eminence Imam Sayyid Moussa Al-Sadr,  #Lebanon #Palestine #Israel","Apr 21, 2024 · 9:43 PM UTC",2,1,Neutral
6625947181aad1cc6b12a1f1,https://twitter.com/_NicoleNonya/status/1759078632457121875#m,"Genetically European Ashkenazi Jew teaches her daughters to kill Arabs as a toddler.  Ashkenazi have 0 ancestorial ties to #Palestine, they ALL have dual citizenship.","Feb 18, 2024 · 4:53 AM UTC",478,56,Neutral
6625947181aad1cc6b12a1f2,https://twitter.com/CB618444/status/1781084796350816560#m,🤔 Matching tents ⛺️⛺️⛺️  Hamas got their tents from Democrats. Antifa 2.0  Oh and death to America 🇺🇸   Kick these fucking terrorists outta the country & drop them in Gaza where they belong. Soldier up mother fuckers 👈  #ColumbiaUniversity #Columbia #Palestine #HamasAreTerrorists,"Apr 18, 2024 · 10:18 PM UTC",516,155,Negative
6625947181aad1cc6b12a1f3,https://twitter.com/hzomlot/status/1779979348084130088#m,We will return.  We will rebuild.  We will never surrender our rights. #Gaza #Palestine 🇵🇸,"Apr 15, 2024 · 9:05 PM UTC",37490,1574,Neutral
6625947181aad1cc6b12a1f4,https://twitter.com/AttiqMalik001/status/1761667439857656080#m,#Palestine #StopTheGazaGenocideNOW #Ceasefire #FromTheRiverToSea,"Feb 25, 2024 · 8:20 AM UTC",3,2,Neutral
6625947181aad1cc6b12a1f5,https://twitter.com/mollusque75/status/1774772010184249591#m,#Eurolinks assassine les enfants de #Palestine #France complice du #GenocideByIsrael,"Apr 1, 2024 · 12:13 PM UTC",3,0,Neutral
6625947181aad1cc6b12a1f6,https://twitter.com/TRENDGAZA1948/status/1782080961548538298#m,#ترند_غزة اعلم أن #طوفان_الأقصى انطلق حفاظا على #المسجد_الأقصى، وأن كل ما فيه صيانة للقدس فهو من نصرة #غزة، ومن أبواب الجهاد والرباط في سبيل الله، وإليكم فتوى حكم الذهاب إلى #فلسطين تحت سلطة المحتلين:  #غزة #Gaza #فلسطين #Palestine,"Apr 21, 2024 · 4:16 PM UTC",13,0,Neutral
